t,Tpos,Tpro,Tneg,o2,test,abi_therapy,dtx_therapy
1860.0,665.1362339578272,661.4256868446666,1315.972978678874,1.0647781344160752,0.06596258475036992,False,False
1920.0,673.3027691819912,668.3474575526417,1343.028185106997,1.064251643279965,0.06666115648255926,False,False
1980.0,681.5399638856168,675.31665778757,1370.4775558451865,1.0637194924975202,0.06736345457626156,False,False
2040.0,689.8478502291068,682.3331405209609,1398.3204788963203,1.0631810053276733,0.06806974193054219,False,False
2100.0,698.2264581199497,689.3968196287483,1426.556370311638,1.0626367789368285,0.06878015432533915,False,False
2160.0,706.6758543376721,696.5075675305256,1455.1838583712533,1.062086152910809,0.06949485990218034,False,False
2220.0,715.1960782412665,703.6653224078013,1484.2020749312546,1.0615300773023806,0.07021393063312428,False,False
2280.0,723.7872244162878,710.8699712724118,1513.608764813208,1.0609675271655947,0.07093747172962926,False,False
2340.0,732.449337083379,718.1214674011252,1543.402809274007,1.060399508910051,0.07166552209770564,False,False
2400.0,741.1825289453861,725.4197152634348,1573.5811365156937,1.0598251209199918,0.07239814326882676,False,False
2460.0,749.9868573093796,732.7646726164611,1604.1421081141068,1.0592452408624684,0.07313535877684284,False,False
2520.0,758.8624471030996,740.1562634881311,1635.0819361149167,1.0586590932963988,0.07387720160939416,False,False
2580.0,767.8093680823407,747.5944518367846,1666.3984309412974,1.0580674892169317,0.07462368512206571,False,False
2640.0,776.8277584248452,755.0791798434115,1698.0870737241742,1.0574697059385227,0.07537482613241922,False,False
2700.0,785.9177009896196,762.6104194984925,1730.145096534513,1.0568665199240501,0.07613063161874302,False,False
2760.0,795.0793494856072,770.1881315095192,1762.5672363472845,1.0562572481132464,0.07689110943537754,False,False
2820.0,804.3128014413962,777.8122979652661,1795.3501239031114,1.0556426504023213,0.07765626282297014,False,False
2880.0,813.6182292024333,785.4828995163352,1828.487740597754,1.0550220677246602,0.07842609498839695,False,False
2940.0,822.9957471944371,793.1999306437853,1861.9760971473327,1.0543962503500777,0.07920060724401075,False,False
3000.0,832.4455500566169,800.9633940125203,1895.808410645757,1.0537645587926148,0.07997980080851458,False,False
3060.0,841.967771831996,808.7732989770082,1929.9800574735186,1.0531277423481809,0.08076367631931465,False,False
3120.0,851.5626335138232,816.6296727183027,1964.4834846197734,1.0524851731629807,0.08155223470561124,False,False
3180.0,861.2302918588648,824.5325420923865,1999.3134243509194,1.0518376018460986,0.08234547682312184,False,False
3240.0,870.9709985743109,832.4819615959711,2034.4615513647357,1.051184410344827,0.08314340444943402,False,False
3300.0,880.7849365186925,840.4779783250694,2069.9219487599394,1.0505263569617356,0.08394601932361166,False,False
3360.0,890.6723927226938,848.520677107761,2105.6855204045996,1.0498628273167638,0.08475332488167285,False,False
3420.0,900.6335797654268,856.6101280997669,2141.74570002044,1.0491945876238356,0.08556532426857598,False,False
3480.0,910.6688248087314,864.7464496354402,2178.0926264530326,1.048521026570625,0.08638202319751959,False,False
3540.0,920.7783739499029,872.9297378032377,2214.7190888730347,1.0478429245910856,0.08720342665376318,False,False
3600.0,930.9625994762177,881.1601477452649,2251.614470993183,1.047159667260933,0.08802954313587881,False,False
3660.0,941.2217849419625,889.4378043876411,2288.770927309051,1.0464720476902518,0.08886037984970932,False,False
